id,is_humor,funniness_average
tweet1,1,1.4944658
tweet2,0,0.082345724
tweet3,1,2.5007405
tweet4,0,0.15541573
tweet5,0,-0.2585249
tweet6,1,0.8202313
tweet7,0,0.8684726
tweet8,0,0.4328536
tweet9,1,0.6738547
tweet10,0,0.08353415
tweet11,1,2.4149594
tweet12,1,2.5342586
tweet13,1,1.8881794
tweet14,1,1.4169505
tweet15,1,2.0363488
tweet16,1,0.913126
tweet17,0,0.15365143
tweet18,0,0.24787036
tweet19,1,2.1968029
tweet20,0,0.030608749
tweet21,0,0.11700676
tweet22,0,0.8037195
tweet23,1,2.2116103
tweet24,0,0.22113466
tweet25,0,0.58405095
tweet26,0,0.3341116
tweet27,1,2.1032956
tweet28,0,0.14482298
tweet29,0,0.23402469
tweet30,1,1.355707
tweet31,1,2.004164
tweet32,0,0.28284556
tweet33,1,1.4842079
tweet34,0,0.1919209
tweet35,0,0.16563606
tweet36,0,-0.08955951
tweet37,0,0.62628114
tweet38,0,0.57384175
tweet39,1,1.143496
tweet40,0,0.020700773
tweet41,0,0.5366834
tweet42,0,0.3550554
tweet43,0,0.5369345
tweet44,0,0.06425444
tweet45,0,0.2818171
tweet46,0,0.045959957
tweet47,1,1.0867369
tweet48,1,2.0948389
tweet49,0,0.39722422
tweet50,0,0.37188524
tweet51,0,0.16277842
tweet52,0,0.11437454
tweet53,1,2.2169132
tweet54,0,0.3680326
tweet55,1,2.5320535
tweet56,1,2.31928
tweet57,1,1.6539905
tweet58,0,0.43763342
tweet59,0,0.46739355
tweet60,0,0.07157091
tweet61,1,0.6941304
tweet62,1,2.2785184
tweet63,0,0.26523203
tweet64,0,0.9326302
tweet65,1,1.7917019
tweet66,0,0.60025525
tweet67,0,0.1692329
tweet68,0,0.23026487
tweet69,1,0.869908
tweet70,1,1.2319628
tweet71,1,0.4598713
tweet72,0,-0.035087153
tweet73,0,0.21326062
tweet74,0,0.46445745
tweet75,0,0.010275257
tweet76,0,0.090296134
tweet77,0,0.6294039
tweet78,1,1.0991445
tweet79,1,1.4212976
tweet80,1,1.6291237
tweet81,0,-0.085959814
tweet82,0,-0.076258264
tweet83,0,-0.051839195
tweet84,0,0.2830624
tweet85,0,0.101124406
tweet86,1,2.0886939
tweet87,1,1.5697827
tweet88,0,0.06540748
tweet89,1,2.0346751
tweet90,1,1.6077824
tweet91,0,-0.012730512
tweet92,0,-0.05469676
tweet93,0,-0.17333099
tweet94,0,0.61620486
tweet95,0,0.28162307
tweet96,1,1.5298607
tweet97,0,0.5860301
tweet98,0,0.0670027
tweet99,1,1.5012809
tweet100,0,0.17265917
tweet101,1,2.5974193
tweet102,1,1.6880398
tweet103,1,1.8995339
tweet104,1,1.9967552
tweet105,0,0.6085872
tweet106,0,0.69915944
tweet107,1,2.4314325
tweet108,0,0.0056933807
tweet109,0,-0.08620906
tweet110,1,2.346031
tweet111,0,0.0970219
tweet112,0,0.43715224
tweet113,1,2.1096761
tweet114,0,0.1839686
tweet115,1,2.5091434
tweet116,0,0.0977057
tweet117,0,0.27699596
tweet118,0,-0.16370818
tweet119,0,-0.03970429
tweet120,0,0.38459557
tweet121,0,0.29720408
tweet122,0,0.14825624
tweet123,1,1.8136438
tweet124,0,0.826295
tweet125,0,0.24601424
tweet126,0,0.49111754
tweet127,0,0.15885933
tweet128,0,0.22037382
tweet129,0,0.11871704
tweet130,1,2.2427223
tweet131,0,-0.0009964525
tweet132,0,0.11714454
tweet133,0,-0.30306444
tweet134,0,0.1875974
tweet135,1,1.5263219
tweet136,0,0.057715617
tweet137,0,-0.16190195
tweet138,1,2.4062934
tweet139,1,2.21497
